target,session_id,phase,phase_hours,norm_flux,bjd_tdb
Qatar-1,Qatar-1__2026-08-21,-0.025555773082487576,-0.8709555894441829,0.9951716269021211,2461273.7328139837
Qatar-1,Qatar-1__2026-08-21,-0.023443100875283562,-0.7989544935826522,1.0017869860286719,2461273.7358140294
Qatar-1,Qatar-1__2026-08-21,-0.02203465262800819,-0.7509537592887655,0.9994049348871897,2461273.73781406
Qatar-1,Qatar-1__2026-08-21,-0.020626204708150908,-0.7029530361534775,1.002923304783926,2461273.73981409
Qatar-1,Qatar-1__2026-08-21,-0.019217756460875535,-0.6549523018595907,1.002325312510431,2461273.7418141207
Qatar-1,Qatar-1__2026-08-21,-0.01780930821360016,-0.606951567565704,1.0019503684747244,2461273.7438141513
Qatar-1,Qatar-1__2026-08-21,-0.01640086029374288,-0.558950844430416,1.0012577817873929,2461273.7458141814
Qatar-1,Qatar-1__2026-08-21,-0.014992412046467507,-0.5109501101365292,1.016095832561865,2461273.747814212
Qatar-1,Qatar-1__2026-08-21,-0.013583964127064974,-0.4629493870167393,1.0141717769097056,2461273.749814242
Qatar-1,Qatar-1__2026-08-21,-0.012175515879334853,-0.4149486527073545,1.0167696238984523,2461273.7518142727
Qatar-1,Qatar-1__2026-08-21,-0.01076706795993232,-0.3669479295875646,0.9964368589368516,2461273.753814303
Qatar-1,Qatar-1__2026-08-21,-0.009358619712656946,-0.3189471952936779,0.9969718715327032,2461273.7558143334
Qatar-1,Qatar-1__2026-08-21,-0.007950171793254412,-0.2709464721738879,1.010320199565035,2461273.7578143636
Qatar-1,Qatar-1__2026-08-21,-0.005837499586050399,-0.1989453763123572,1.0034669160883423,2461273.7608144092
Qatar-1,Qatar-1__2026-08-21,-0.004429051666193118,-0.15094465317706918,1.0084651889925533,2461273.7628144394
Qatar-1,Qatar-1__2026-08-21,-0.0030206034189177444,-0.10294391888318244,1.0022494285511425,2461273.76481447
Qatar-1,Qatar-1__2026-08-21,-0.001612155499515211,-0.054943195763392516,0.9990143327611725,2461273.7668145
Qatar-1,Qatar-1__2026-08-21,-0.00020370758011267753,-0.006942472643602581,1.0023184396210796,2461273.76881453
Qatar-1,Qatar-1__2026-08-21,0.0012047403397446033,0.041058250491685405,0.9959069715892517,2461273.7708145604
Qatar-1,Qatar-1__2026-08-21,0.0026131882591471367,0.08905897361147534,1.0054884176436816,2461273.7728145905
Qatar-1,Qatar-1__2026-08-21,0.00402163650642251,0.1370597079053621,1.000051978407742,2461273.774814621
Qatar-1,Qatar-1__2026-08-21,0.005430084426279791,0.18506043104065006,1.0074974385406055,2461273.776814651
Qatar-1,Qatar-1__2026-08-21,0.006838532345682324,0.23306115416044001,1.0066161886617084,2461273.7788146813
